1.1,10
2.1,10
3.1,10
4.1,10
5.1,10
6.1,10
7.1,10
8.1,10
9.1,10
10.1,10
11.1,10
12.1,10
13.1,10
14.1,10
15.1,10
16.1,10
17.1,10
18.1,10
19.1,10
20.1,10
21.1,10
22.1,10
23.1,10
24.1,10
25.1,10
26.1,10
27.1,10
28.1,10
29.1,10
30.1,10
31.1,10
32.1,10
33.1,10
34.1,10
35.1,10
36.1,10
37.1,10
38.1,10
39.1,10
40.1,10
41.1,10
42.1,10
43.1,10
44.1,10
45.1,10
46.1,10
47.1,10
48.1,10
49.1,10
50.1,10
51.1,1
52.1,1
53.1,1
54.1,1
55.1,1
56.1,1
57.1,1
58.1,1
59.1,1
60.1,1
61.1,1
62.1,1
63.1,1
64.1,1
65.1,1
66.1,1
67.1,1
68.1,1
69.1,1
70.1,1
71.1,1
72.1,1
73.1,1
74.1,1
75.1,1
76.1,1
77.1,1
78.1,1
79.1,1
80.1,1
81.1,1
82.1,1
83.1,1
84.1,1
85.1,1
86.1,1
87.1,1
88.1,1
89.1,1
90.1,1
91.1,1
92.1,1
93.1,1
94.1,1
95.1,1
96.1,1
97.1,1
98.1,1
99.1,1
100.1,1
